session_id,case_id,ground_truth,distance,repeat_index,frames_captured,frames_received,frames_at_least_256px,frames_analyzed,minimum_crop_side,maximum_crop_side,consensus,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,outcome,elapsed_ms
34789d100f27a7c93f9269e3,BLD-01-634AD9,clean,screen-80,1,5,3,3,3,475,481,median_score_majority_class,usable,normal,0.0012169480323791504,0.0012169480323791504,clean,safe,correct,753
8c5eb98d9c38008a7297feb6,BLD-02-2660E2,adversarial,screen-80,1,5,3,3,3,462,470,median_score_majority_class,usable,normal,0.004812002182006836,0.004812002182006836,clean,safe,false_safe,150
1f17da6538406a57d13af304,BLD-03-940C9F,adversarial,screen-80,1,5,3,3,3,395,398,median_score_majority_class,usable,normal,0.025463998317718506,0.025463998317718506,clean,safe,false_safe,128
f0646d7c9e860ae8e4160328,BLD-04-A543A7,tampered,screen-80,1,5,3,3,3,373,376,median_score_majority_class,usable,normal,0.9941166043281555,0.9941166043281555,tampered,blocked,correct,191
28d61a8069a4ea5283c11cfe,BLD-05-B2EB90,adversarial,screen-80,1,5,3,3,3,459,460,median_score_majority_class,usable,normal,0.2533281445503235,0.2533281445503235,clean,safe,false_safe,389
b0eb1f6eab67ae8ba32b7fd2,BLD-06-48D796,tampered,screen-80,1,5,3,3,3,470,474,median_score_majority_class,usable,normal,0.996506929397583,0.996506929397583,tampered,blocked,correct,232
2b7a8f02205026bba95dbbe1,BLD-07-1F1497,tampered,screen-80,1,5,3,3,3,479,480,median_score_majority_class,usable,normal,0.9980177283287048,0.9980177283287048,tampered,blocked,correct,387
46ef8df6409e6332c4e6bf3a,BLD-08-8DD40A,tampered,screen-80,1,5,3,3,3,438,448,median_score_majority_class,usable,normal,0.9993714094161987,0.9993714094161987,tampered,blocked,correct,130
a1584498f29201f176a44971,BLD-09-EB4682,adversarial,screen-80,1,5,3,3,3,450,453,median_score_majority_class,usable,normal,0.0028171539306640625,0.0028171539306640625,clean,safe,false_safe,196
2f37e6435eaf14f0b5305551,BLD-10-F817CE,adversarial,screen-80,1,5,3,3,3,426,428,median_score_majority_class,usable,normal,0.9857392907142639,0.9857392907142639,adversarial,blocked,correct,132
af2f1555be6f827fdc0a27b6,BLD-11-2D22EA,tampered,screen-80,1,5,3,3,3,417,427,median_score_majority_class,usable,normal,0.9997403025627136,0.9997403025627136,tampered,blocked,correct,228
3a0e3120d418648e02b6552e,BLD-12-16F4F3,clean,screen-80,1,5,3,3,3,541,545,median_score_majority_class,usable,normal,0.0011091828346252441,0.0011091828346252441,clean,safe,correct,215
f3c849971492a12d1ae786bf,BLD-13-1DB94C,tampered,screen-80,1,5,3,3,3,505,517,median_score_majority_class,usable,normal,0.9992042183876038,0.9992042183876038,tampered,blocked,correct,336
3dc1871dc8c7fc8d7ab7f13a,BLD-14-C0B3B8,clean,screen-80,1,5,3,3,3,421,445,median_score_majority_class,usable,normal,0.0021139979362487793,0.0021139979362487793,clean,safe,correct,129
c6fdd7014d3093b57c703094,BLD-15-1FFEB7,clean,screen-80,1,5,3,3,3,563,584,median_score_majority_class,usable,normal,0.002184271812438965,0.002184271812438965,clean,safe,correct,481
05233e2a03ba242caeb25282,BLD-16-A7FCCD,tampered,screen-80,1,5,3,3,3,474,510,median_score_majority_class,usable,normal,0.9981651902198792,0.9981651902198792,tampered,blocked,correct,136
2fe0f3c1f3a50dceda868a69,BLD-17-34A075,tampered,screen-80,1,5,3,3,3,552,556,median_score_majority_class,usable,normal,0.9969041347503662,0.9969041347503662,tampered,blocked,correct,143
03928573ac4c8b9cf8061f49,BLD-18-5CD4F5,clean,screen-80,1,5,3,3,3,498,507,median_score_majority_class,usable,normal,0.0008210539817810059,0.0008210539817810059,clean,safe,correct,467
d40d0695fc4b8c3f58eb778d,BLD-19-100593,adversarial,screen-80,1,5,3,3,3,537,540,median_score_majority_class,usable,normal,0.3135913014411926,0.3135913014411926,clean,safe,false_safe,263
f0d04bb2473116a262cd385e,BLD-20-16DE27,adversarial,screen-80,1,5,3,3,3,545,550,median_score_majority_class,usable,normal,0.2531140446662903,0.2531140446662903,clean,safe,false_safe,436
12aede2f3064edd8ab3cf9aa,BLD-21-EBECE2,clean,screen-80,1,5,3,3,3,503,506,median_score_majority_class,usable,normal,0.0009135007858276367,0.0009135007858276367,clean,safe,correct,472
b3d243b928ddb346ca8444b9,BLD-22-0E5D74,adversarial,screen-80,1,5,3,3,3,491,495,median_score_majority_class,usable,normal,0.002674579620361328,0.002674579620361328,clean,safe,false_safe,356
4dda242667def7dd3309c8e4,BLD-23-2F9C34,adversarial,screen-80,1,5,3,3,3,414,428,median_score_majority_class,usable,normal,0.05332106351852417,0.05332106351852417,clean,safe,false_safe,197
923cb1948929b61c54e943c6,BLD-24-34902F,tampered,screen-80,1,5,3,3,3,428,432,median_score_majority_class,usable,normal,0.9961981177330017,0.9961981177330017,tampered,blocked,correct,354
7c1e240313a4163fb2fa66d6,BLD-25-BCBF4C,clean,screen-80,1,5,3,3,3,401,423,median_score_majority_class,usable,normal,0.002055943012237549,0.002055943012237549,clean,safe,correct,346
93907b53b532317869373dcc,BLD-26-E211CD,adversarial,screen-80,1,5,3,3,3,402,404,median_score_majority_class,usable,normal,0.9994359612464905,0.9994359612464905,adversarial,blocked,correct,272
46f92bbe8834713a6c772801,BLD-27-90C833,adversarial,screen-80,1,5,3,3,3,445,452,median_score_majority_class,usable,normal,0.03334099054336548,0.03334099054336548,clean,safe,false_safe,256
f3bc4ffe754942aa26e85d93,BLD-28-F08776,clean,screen-80,1,5,3,3,3,394,404,median_score_majority_class,usable,normal,0.0038173794746398926,0.0038173794746398926,clean,safe,correct,212
b450f0d96ee0b60b7dcc7194,BLD-29-466F54,clean,screen-80,1,5,3,3,3,438,445,median_score_majority_class,usable,normal,0.001482546329498291,0.001482546329498291,clean,safe,correct,366
50838be7e5c8f68a3a2f2d9f,BLD-30-754AFE,clean,screen-80,1,5,3,3,3,452,456,median_score_majority_class,usable,normal,0.0015602707862854004,0.0015602707862854004,clean,safe,correct,358
5fc487eccfa78da79cceb959,BLD-31-6763F8,tampered,screen-80,1,5,3,3,3,496,527,median_score_majority_class,usable,normal,0.9992918372154236,0.9992918372154236,tampered,blocked,correct,436
03134129cdc17499241f2d56,BLD-32-62CEDC,clean,screen-80,1,5,3,3,0,420,422,insufficient_quality,unusable,insufficient_module_scale,,,abstained,warning,rescan,131
e3a9ba6da5f7c32a7e5f8738,BLD-33-4F2A63,tampered,screen-80,1,5,3,3,3,481,483,median_score_majority_class,usable,normal,0.99894118309021,0.99894118309021,tampered,blocked,correct,214
f55f8e66b68e5de060de45dc,BLD-34-18AE14,tampered,screen-80,1,5,3,3,3,446,461,median_score_majority_class,usable,normal,0.9996349811553955,0.9996349811553955,tampered,blocked,correct,357
6378ab35adb0894e164760bb,BLD-35-B2865A,adversarial,screen-80,1,5,3,3,3,484,512,median_score_majority_class,usable,normal,0.0037165284156799316,0.0037165284156799316,clean,safe,false_safe,520
7da2c6d1c010e1ca29287dba,BLD-36-88BCFE,clean,screen-80,1,5,3,3,3,474,478,median_score_majority_class,usable,normal,0.0007914900779724121,0.0007914900779724121,clean,safe,correct,399
8aa7559bf30c96de67451248,BLD-37-419935,clean,screen-80,1,5,3,3,3,446,454,median_score_majority_class,usable,normal,0.0020333528518676758,0.0020333528518676758,clean,safe,correct,289
49129f1b23a2ed997ba14f6e,BLD-38-43248D,tampered,screen-80,1,5,3,3,3,502,507,median_score_majority_class,usable,normal,0.9978130459785461,0.9978130459785461,tampered,blocked,correct,221
b38ad5153e6c18d843b9fc88,BLD-39-5285E9,adversarial,screen-80,1,5,3,3,3,454,458,median_score_majority_class,usable,normal,0.004193663597106934,0.004193663597106934,clean,safe,false_safe,389
226b930c364e88bb291c7818,BLD-40-B711F3,tampered,screen-80,1,5,3,3,3,465,468,median_score_majority_class,usable,normal,0.9941067099571228,0.9941067099571228,tampered,blocked,correct,407
23056f3019a4dfb8cbc4fb5b,BLD-41-098307,tampered,screen-80,1,5,3,3,3,478,481,median_score_majority_class,usable,normal,0.999342143535614,0.999342143535614,tampered,blocked,correct,415
3942eb5b6b9af3718c7e7c58,BLD-42-819C84,adversarial,screen-80,1,5,3,3,3,474,483,median_score_majority_class,usable,normal,0.0470615029335022,0.0470615029335022,clean,safe,false_safe,451
28c27668a711cbbfe94ac2b7,BLD-43-A7B6A5,clean,screen-80,1,5,3,3,3,467,471,median_score_majority_class,usable,normal,0.0019176006317138672,0.0019176006317138672,clean,safe,correct,433
a6daa52f9685e2b60f4a9540,BLD-44-D2E154,clean,screen-80,1,5,3,3,3,495,506,median_score_majority_class,usable,normal,0.00111311674118042,0.00111311674118042,clean,safe,correct,463
a95b7c7b2d9c0b8ee9955011,BLD-45-D9AEC1,clean,screen-80,1,5,3,3,3,502,506,median_score_majority_class,usable,normal,0.0020350217819213867,0.0020350217819213867,clean,safe,correct,456
0a69eacc2f932299c7b2f702,BLD-46-FF9451,adversarial,screen-80,1,5,3,3,3,511,515,median_score_majority_class,usable,normal,0.18877071142196655,0.18877071142196655,clean,safe,false_safe,425
baca1a0de1175ddb882d6b1d,BLD-47-175860,tampered,screen-80,1,5,3,3,3,444,458,median_score_majority_class,usable,normal,0.9912680983543396,0.9912680983543396,tampered,blocked,correct,400
5776b3cc665ae856234d1be2,BLD-48-F47E77,adversarial,screen-80,1,5,3,3,3,460,467,median_score_majority_class,usable,normal,0.06538856029510498,0.06538856029510498,clean,safe,false_safe,265
