session_id,case_id,ground_truth,distance,repeat_index,frames_captured,frames_received,frames_at_least_256px,frames_analyzed,minimum_crop_side,maximum_crop_side,consensus,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,outcome,elapsed_ms
34789d100f27a7c93f9269e3,BLD-01-634AD9,clean,screen-80,1,5,3,3,3,475,481,median_score_majority_class,usable,normal,0.001101851463317871,0.001101851463317871,clean,safe,correct,673
8c5eb98d9c38008a7297feb6,BLD-02-2660E2,adversarial,screen-80,1,5,3,3,3,462,470,median_score_majority_class,usable,normal,0.0016853809356689453,0.0016853809356689453,clean,safe,false_safe,152
1f17da6538406a57d13af304,BLD-03-940C9F,adversarial,screen-80,1,5,3,3,3,395,398,median_score_majority_class,usable,normal,0.07036107778549194,0.07036107778549194,clean,safe,false_safe,136
f0646d7c9e860ae8e4160328,BLD-04-A543A7,tampered,screen-80,1,5,3,3,3,373,376,median_score_majority_class,usable,normal,0.9903008937835693,0.9903008937835693,tampered,blocked,correct,184
28d61a8069a4ea5283c11cfe,BLD-05-B2EB90,adversarial,screen-80,1,5,3,3,3,459,460,median_score_majority_class,usable,normal,0.3533952236175537,0.3533952236175537,clean,safe,false_safe,383
b0eb1f6eab67ae8ba32b7fd2,BLD-06-48D796,tampered,screen-80,1,5,3,3,3,470,474,median_score_majority_class,usable,normal,0.9992865920066833,0.9992865920066833,tampered,blocked,correct,211
2b7a8f02205026bba95dbbe1,BLD-07-1F1497,tampered,screen-80,1,5,3,3,3,479,480,median_score_majority_class,usable,normal,0.9981371760368347,0.9981371760368347,tampered,blocked,correct,417
46ef8df6409e6332c4e6bf3a,BLD-08-8DD40A,tampered,screen-80,1,5,3,3,3,438,448,median_score_majority_class,usable,normal,0.9992629289627075,0.9992629289627075,tampered,blocked,correct,137
a1584498f29201f176a44971,BLD-09-EB4682,adversarial,screen-80,1,5,3,3,3,450,453,median_score_majority_class,usable,normal,0.005569756031036377,0.005569756031036377,clean,safe,false_safe,211
2f37e6435eaf14f0b5305551,BLD-10-F817CE,adversarial,screen-80,1,5,3,3,3,426,428,median_score_majority_class,usable,normal,0.9987961649894714,0.9987961649894714,adversarial,blocked,correct,136
