path,label,class_id,split,group_id,source,capture_kind,attack_recipe,is_exact_app_crop,licence,session_id,device_model
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00000.png,clean,0,train,synthetic_base:00000,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00000,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00000.png,tampered,2,train,synthetic_base:00000,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00000,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/test/clean/00001.png,clean,0,test,synthetic_base:00001,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00001,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/test/tampered/00001.png,tampered,2,test,synthetic_base:00001,procedural_qrguard,pristine,physical_overlay,False,project_generated,synthetic_base:00001,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/validation/clean/00002.png,clean,0,validation,synthetic_base:00002,procedural_qrguard,pristine,none,False,project_generated,synthetic_base:00002,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/validation/tampered/00002.png,tampered,2,validation,synthetic_base:00002,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00002,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00003.png,clean,0,train,synthetic_base:00003,procedural_qrguard,pristine,none,False,project_generated,synthetic_base:00003,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00003.png,tampered,2,train,synthetic_base:00003,procedural_qrguard,pristine,physical_overlay,False,project_generated,synthetic_base:00003,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00004.png,clean,0,train,synthetic_base:00004,procedural_qrguard,pristine,none,False,project_generated,synthetic_base:00004,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00004.png,tampered,2,train,synthetic_base:00004,procedural_qrguard,pristine,physical_overlay,False,project_generated,synthetic_base:00004,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00005.png,clean,0,train,synthetic_base:00005,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00005,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00005.png,tampered,2,train,synthetic_base:00005,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00005,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/test/clean/00006.png,clean,0,test,synthetic_base:00006,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00006,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/test/tampered/00006.png,tampered,2,test,synthetic_base:00006,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00006,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00007.png,clean,0,train,synthetic_base:00007,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00007,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00007.png,tampered,2,train,synthetic_base:00007,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00007,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/validation/clean/00008.png,clean,0,validation,synthetic_base:00008,procedural_qrguard,pristine,none,False,project_generated,synthetic_base:00008,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/validation/tampered/00008.png,tampered,2,validation,synthetic_base:00008,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00008,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/validation/clean/00009.png,clean,0,validation,synthetic_base:00009,procedural_qrguard,pristine,none,False,project_generated,synthetic_base:00009,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/validation/tampered/00009.png,tampered,2,validation,synthetic_base:00009,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00009,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00010.png,clean,0,train,synthetic_base:00010,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00010,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00010.png,tampered,2,train,synthetic_base:00010,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00010,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00011.png,clean,0,train,synthetic_base:00011,procedural_qrguard,pristine,none,False,project_generated,synthetic_base:00011,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00011.png,tampered,2,train,synthetic_base:00011,procedural_qrguard,pristine,physical_overlay,False,project_generated,synthetic_base:00011,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00012.png,clean,0,train,synthetic_base:00012,procedural_qrguard,pristine,none,False,project_generated,synthetic_base:00012,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00012.png,tampered,2,train,synthetic_base:00012,procedural_qrguard,pristine,physical_overlay,False,project_generated,synthetic_base:00012,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/test/clean/00013.png,clean,0,test,synthetic_base:00013,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00013,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/test/tampered/00013.png,tampered,2,test,synthetic_base:00013,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00013,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/validation/clean/00014.png,clean,0,validation,synthetic_base:00014,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00014,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/validation/tampered/00014.png,tampered,2,validation,synthetic_base:00014,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00014,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00015.png,clean,0,train,synthetic_base:00015,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00015,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00015.png,tampered,2,train,synthetic_base:00015,procedural_qrguard,pristine,physical_overlay,False,project_generated,synthetic_base:00015,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00016.png,clean,0,train,synthetic_base:00016,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00016,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00016.png,tampered,2,train,synthetic_base:00016,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00016,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00017.png,clean,0,train,synthetic_base:00017,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00017,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00017.png,tampered,2,train,synthetic_base:00017,procedural_qrguard,pristine,physical_overlay,False,project_generated,synthetic_base:00017,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00018.png,clean,0,train,synthetic_base:00018,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00018,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00018.png,tampered,2,train,synthetic_base:00018,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00018,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00019.png,clean,0,train,synthetic_base:00019,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00019,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00019.png,tampered,2,train,synthetic_base:00019,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00019,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00020.png,clean,0,train,synthetic_base:00020,procedural_qrguard,pristine,none,False,project_generated,synthetic_base:00020,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00020.png,tampered,2,train,synthetic_base:00020,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00020,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00021.png,clean,0,train,synthetic_base:00021,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00021,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00021.png,tampered,2,train,synthetic_base:00021,procedural_qrguard,pristine,physical_overlay,False,project_generated,synthetic_base:00021,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/clean/00022.png,clean,0,train,synthetic_base:00022,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00022,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/train/tampered/00022.png,tampered,2,train,synthetic_base:00022,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00022,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/test/clean/00023.png,clean,0,test,synthetic_base:00023,procedural_qrguard,camera_simulated,none,False,project_generated,synthetic_base:00023,not_recorded
ml_training/datasets/structural/processed/structural-2026.02/images/test/tampered/00023.png,tampered,2,test,synthetic_base:00023,procedural_qrguard,camera_simulated,physical_overlay,False,project_generated,synthetic_base:00023,not_recorded
