session_id,case_id,ground_truth,distance,repeat_index,frame_count,usable_frame_count,decoded_frame_count,safe_frames,warning_frames,blocked_frames,clean_type_frames,nonclean_type_frames,current_first_verdict,majority_verdict,median_risk_verdict,median_risk_score,median_p_structural,p_structural_range,majority_detects_ground_truth
83420067ff628112b542658a,CVG-ADV-V03-M0-01,adversarial,screen-80,1,5,5,4,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9996487498283386,0.008323848247528076,True
ccd66962974e84eca36b3e43,CVG-ADV-V03-M1-02,adversarial,screen-80,1,5,5,4,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9989796876907349,0.00473177433013916,True
9d44774de03bdde7a8959204,CVG-ADV-V03-M2-03,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.999828577041626,0.014251112937927246,True
744d8ae298bd0454fe70b7d6,CVG-ADV-V03-M3-04,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9997848868370056,0.0005352497100830078,True
f948486bb6f241c3db87dcc6,CVG-ADV-V03-M4-05,adversarial,screen-80,1,5,5,3,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9998464584350586,7.528066635131836e-05,True
09e1cf3d3ebcd81676b1ed6c,CVG-ADV-V05-M0-09,adversarial,screen-80,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.999855637550354,0.00017917156219482422,True
ddf612065fb6c6d4d6a82bda,CVG-ADV-V05-M1-10,adversarial,screen-80,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9998934268951416,0.017325401306152344,True
67a296996e1d1741e561b332,CVG-ADV-V05-M5-06,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9995228052139282,0.001978456974029541,True
c17e8bcefc61069889877e36,CVG-ADV-V05-M6-07,adversarial,screen-80,1,5,5,1,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999688267707825,0.0001404881477355957,True
c8f141dddaab3640eb393358,CVG-ADV-V05-M7-08,adversarial,screen-80,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999936819076538,2.2590160369873047e-05,True
69f06351123669461a687da7,CVG-ADV-V10-M2-11,adversarial,screen-80,1,5,5,3,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9998825788497925,0.0002295970916748047,True
956f1b2dc6445f57f4ad8a83,CVG-ADV-V10-M3-12,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999561309814453,0.00014656782150268555,True
0fe5d03dd1e336986442d751,CVG-ADV-V10-M4-13,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999692440032959,5.131959915161133e-05,True
8e4b3e433a4d7dd3ad22c3d1,CVG-ADV-V10-M5-14,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999095797538757,0.0001595020294189453,True
0625b7ee249299f3fd781526,CVG-ADV-V10-M6-15,adversarial,screen-80,1,5,5,4,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999698996543884,0.00017344951629638672,True
694196f08794b8271fb1690e,CVG-ADV-V10-M7-16,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.99994295835495,7.474422454833984e-05,True
